#NAME?,Neighbourhood,Latitude,Longitude
1,Adalar,40.8762595,29.0910273
2,Bagcilar,41.0450606,28.8336494
3,Bayrampasa,41.0512479,28.8984694
4,Beyoglu,41.0283873,28.9740445
5,Esenler,41.0620017,28.8695378
6,Gaziosmanpasa,41.0734206,28.9015561
7,Kartal,40.9150364,29.2037171
8,Sancaktepe,40.9994383,29.2252495
9,Sisli,41.0616720,28.9842606
10,Umraniye,41.0272187,29.1274593
11,Arnavutkoy,41.0683942,29.0411538
12,Bahcelievler,41.0002895,28.8637451
13,Besiktas,41.0716178,29.0305382
14,Buyukcekmece,41.0156913,28.5955238
15,Esenyurt,41.0489201,28.6581173
16,Gungoren,41.0198309,28.8748340
17,Kucukcekmece,41.0210330,28.7764292
18,Sariyer,41.1717165,29.0315448
19,Sultanbeyli,40.9658834,29.2723659
20,Uskudar,41.0293083,29.0326345
21,Atasehir,40.9847487,29.1067199
22,Bakirkoy,40.9806359,28.8628745
23,Beykoz,41.1383644,29.2220779
24,Catalca,41.1435632,28.4619692
25,Eyup,41.1652931,28.8831603
26,Kadikoy,40.9906637,29.0221810
27,Maltepe,40.9433960,29.1596717
28,Sile,41.0919851,29.6423783
29,Sultangazi,41.1081703,28.8613138
30,Zeytinburnu,40.9881355,28.9037425
31,Avcilar,40.9801353,28.7175465
32,Basaksehir,41.1027276,28.7724596
33,Beylikduzu,41.0010788,28.6420540
34,Cekmekoy,41.0543213,29.2445387
35,Fatih,41.0096334,28.9651646
36,Kagithane,41.0836953,28.9840253
37,Pendik,40.9563765,29.3545808
38,Silivri,41.0732043,28.2469222
39,Tuzla,40.8166668,29.3008332
